Genus,Prevalence,Group,Size
Bacteroides,19.49585778,Health,30
Bacteroides,14.92181284,Disease,30
Faecalibacterium,11.94738209,Health,30
Escherichia-Shigella,11.14867765,Disease,30
Faecalibacterium,7.960839105,Disease,15
Bifidobacterium,7.419768526,Disease,15
Bifidobacterium,7.123957869,Health,15
Blautia,5.315201545,Health,15
Escherichia-Shigella,5.308167443,Health,15
Blautia,4.647229348,Disease,8
Agathobacter,3.749035152,Health,8
Enterococcus,3.321622728,Disease,8
Dialister,2.645223859,Health,8
Agathobacter,2.554151026,Disease,8
Subdoligranulum,2.461920097,Health,8
Megamonas,2.39819082,Health,8
Parabacteroides,2.345908079,Disease,8
Subdoligranulum,2.258472127,Disease,8
Pseudomonas,2.252515973,Disease,8
Lactobacillus,2.159166191,Disease,8
Streptococcus,2.016994005,Disease,8
Fusicatenibacter,1.95411838,Health,4
Roseburia,1.923965163,Health,4
Prevotella,1.848368882,Health,4
Eubacterium_coprostanoligenes_group,1.763441571,Disease,4
Alistipes,1.653646839,Disease,4
Klebsiella,1.402168319,Disease,4
Ruminococcus_torques_group,1.38259222,Health,4
Fusicatenibacter,1.36242193,Disease,4
Alistipes,1.305222221,Health,4
Eubacterium_hallii_group,1.199886512,Health,4
Akkermansia,1.194474486,Health,4
Collinsella,1.19343838,Health,4
Parabacteroides,1.092354573,Health,4
Collinsella,1.064524681,Disease,4
Ruminococcus_torques_group,0.987370792,Disease,2
Eubacterium_hallii_group,0.875967047,Disease,2
Akkermansia,0.873365938,Disease,2
Streptococcus,0.865525162,Health,2
Dialister,0.80564161,Disease,2
Eubacterium_coprostanoligenes_group,0.799459907,Health,2
Roseburia,0.793140203,Disease,2
Megamonas,0.743007937,Disease,2
Lactobacillus,0.73378121,Health,2
Prevotella,0.668174293,Disease,2
Klebsiella,0.650404327,Health,2
Enterococcus,0.612872672,Health,2
Pseudomonas,0.015228171,Health,1
